Entity,Energy Source,Value,Percentage
Afghanistan,Renewables,0.938,0.8496376811594203
Albania,Renewables,6.226000000000001,1.0
Algeria,Renewables,0.664,0.009227604991800772
Angola,Renewables,9.344,0.7110028914929234
Antigua and Barbuda,Renewables,0.01,0.030303030303030304
Argentina,Renewables,34.214,0.2479814452417192
Armenia,Renewables,2.244,0.3079034028540066
Aruba,Renewables,0.146,0.1607929515418502
Australia,Renewables,47.902,0.19204894437628797
Austria,Renewables,52.45,0.7764388915206063
Azerbaijan,Renewables,1.714,0.07181764853766864
Bahamas,Renewables,0.0,0.0
Bahrain,Renewables,0.01,0.00034874799469903045
Bangladesh,Renewables,1.2879999999999998,0.017743979721166033
Barbados,Renewables,0.038,0.03777335984095427
Belarus,Renewables,0.834,0.023890002864508732
Belgium,Renewables,18.03,0.2133172428480159
Belize,Renewables,0.368,0.5139664804469274
Benin,Renewables,0.004,0.016949152542372888
Bermuda,Renewables,0.0,0.0
Bhutan,Renewables,8.064,1.0
Bosnia and Herzegovina,Renewables,5.418,0.3260712566201252
Botswana,Renewables,0.006,0.0022304832713754648
Brazil,Renewables,490.60599999999994,0.8232390183003158
Bulgaria,Renewables,7.502,0.17046125880481705
Burkina Faso,Renewables,0.194,0.11829268292682928
Burundi,Renewables,0.204,0.6986301369863014
Cambodia,Renewables,4.002,0.5399352401511063
Cameroon,Renewables,5.04,0.6350806451612904
Canada,Renewables,428.34,0.6740268200801266
Cayman Islands,Renewables,0.012,0.017910447761194027
Central African Republic,Renewables,0.154,1.0
Chad,Renewables,0.01,0.03355704697986577
Chile,Renewables,30.554,0.0
China,Renewables,1844.936,0.2638141151310437
Colombia,Renewables,55.05800000000001,0.7122639068564036
Comoros,Renewables,0.0,0.0
Congo,Renewables,1.092,0.3382899628252788
Costa Rica,Renewables,11.084,0.9769081614665961
Croatia,Renewables,8.431999999999999,0.6601941747572815
Cuba,Renewables,2.336,0.12098611974311166
Cyprus,Renewables,0.492,0.09859719438877755
Czechia,Renewables,9.784,0.11631832988563141
Denmark,Renewables,21.492,0.7155413503795446
Djibouti,Renewables,0.0,0.0
Dominica,Renewables,0.03,0.3000000000000003
Dominican Republic,Renewables,2.616,0.14031323750268185
Ecuador,Renewables,21.58,0.7311288792519312
Egypt,Renewables,17.983999999999998,0.09270772117575493
El Salvador,Renewables,4.138,0.7112409762805088
Equatorial Guinea,Renewables,0.458,0.3318840579710145
Eritrea,Renewables,0.008,0.0196078431372549
Estonia,Renewables,2.1100000000000003,0.20529285853278847
Eswatini,Renewables,0.646,0.9416909620991253
Ethiopia,Renewables,13.56,0.9992630803242447
Fiji,Renewables,0.6719999999999999,0.6303939962476548
Finland,Renewables,32.368,0.47182297892189734
France,Renewables,108.748,0.19534188602242478
Gabon,Renewables,0.966,0.4367088607594937
Gambia,Renewables,0.0,0.0
Georgia,Renewables,9.132,0.7963027554935472
Germany,Renewables,223.974,0.36259936213958455
Ghana,Renewables,6.4,0.42384105960264906
Greece,Renewables,15.696000000000002,0.3023345404114339
Grenada,Renewables,0.0,0.0
Guatemala,Renewables,8.453999999999999,0.6397759951566521
Guinea,Renewables,1.378,0.6801579466929911
Guinea-Bissau,Renewables,0.0,0.0
Guyana,Renewables,0.154,0.1332179930795848
Haiti,Renewables,0.136,0.13709677419354838
Honduras,Renewables,5.578,0.5415533980582524
Hungary,Renewables,4.144,0.12516612299142202
Iceland,Renewables,18.868,1.0
India,Renewables,265.12800000000004,0.17359511496924593
Indonesia,Renewables,46.416,0.0
Iraq,Renewables,3.686,0.043694729604779624
Ireland,Renewables,10.372,0.3357068876229933
Israel,Renewables,2.418,0.03485857624772943
Italy,Renewables,111.808,0.38894068209331123
Jamaica,Renewables,0.616,0.14864864864864863
Japan,Renewables,182.954,0.18359990446390403
